,x,y,flux,fwhm_mean,snr,have_moon
0,674.74677,217.55174,342.8465757305941,3.8371491,77.79159100119283,0
1,395.03342,892.9368,353.0008755455349,3.93092,114.58444100269175,0
2,912.0695,324.05957,359.31661376725856,4.0849934,64.0177747422467,0
3,442.48492,396.34714,146.4890697137965,3.774992,74.6345928944424,0
4,159.63057,239.59406,153.9331234989483,4.016168,15.955807690102466,0
5,262.36694,129.61162,113.72891135171061,4.010942,59.47817338934303,0
6,294.26382,254.82462,86.2971241403166,3.7390544,5.921896380546837,0
7,454.4963,231.33757,85.86372947240856,3.7956963,32.572402044493494,0
8,94.17516,343.3341,86.04789512961423,3.9093337,39.764389136464615,0
9,454.03403,566.5139,87.46459153616908,4.0831385,10.103297547902907,0
10,370.97043,172.34251,63.716943859200256,3.7701373,112.64969157723314,0
11,427.0918,659.8715,49.33076863554879,3.6874812,72.78717151556339,0
12,1006.99677,486.45798,53.097846009121895,4.2193174,89.46380406518365,0
13,166.55913,572.5028,48.465324231128285,3.938584,47.94906002290448,0
14,757.5995,104.512695,49.0262113532338,4.12041,47.5146474677233,0
15,725.47687,699.4512,43.21409118724436,3.8720436,12.144717117469488,0
16,172.41545,481.83527,38.90507310831048,3.7550144,14.315182253169604,0
17,493.22235,488.07742,40.60925062067213,4.932156,0.8827440831302925,0
18,622.158,650.57184,37.57614794935562,3.8128433,49.60530284486364,0
19,398.4838,297.9033,34.04797692240061,3.7383785,54.02560847442034,0
20,88.66792,725.6602,38.40332270034378,4.2802935,23.95777439780583,0
21,248.65553,403.3724,31.46457326610326,4.0899186,11.051497224090804,0
22,432.86597,453.0442,56.40961099903932,6.118928,9.6333740742146,0
23,577.9205,127.891266,24.854310862698597,3.745241,29.22894934258115,0
24,740.4534,283.60925,24.18086152610002,3.837467,28.9595213836474,0
25,741.656,356.47293,23.71693919690878,3.8173018,35.71371722843629,0
26,662.576,524.7561,25.395609933894022,4.070446,41.74291878080958,0
27,668.4918,732.86804,23.29408054084162,3.8855557,42.452377068990586,0
28,184.24039,378.23453,21.72638481250059,3.7199283,36.549031008783686,0
29,630.9843,373.43726,21.791492594173917,3.8292851,17.17690467545033,0
30,562.4222,252.99574,22.447713612996804,3.9485912,51.179976386926356,0
31,609.9202,665.7947,22.023652182279296,3.89997,18.04944617072283,0
32,541.43536,257.70844,20.459989513739227,3.782295,29.220741593668965,0
33,843.12,494.31146,22.19630430549184,4.0828085,4.704811433466953,0
34,417.64984,618.47,23.38141370747168,4.197341,21.982977315551235,0
35,497.2784,152.16048,17.378907768473812,3.7139301,38.109964382840985,0
36,691.0835,269.8169,16.437281857667355,3.7466092,26.62993605748157,0
37,680.38477,756.62585,19.219203842703884,4.1096525,23.547105474385138,0
38,520.5499,781.25806,17.225623930102728,3.8441849,19.77491339250909,0
39,183.38547,223.33345,16.61789671005156,3.7953176,8.71350654626633,0
40,603.1799,457.30182,40.3688396248421,6.532472,5.734009764040291,0
41,219.7839,774.1912,15.447607331249387,3.7533112,8.717648333718467,0
42,511.57718,124.67949,15.877890091388768,3.8095813,20.931927865301407,0
43,452.53842,878.2757,16.902750666893354,3.982925,34.12867149879368,0
44,660.1681,86.471115,16.038528026577808,3.9066176,4.767549293375467,0
45,562.63214,650.5483,19.814506408123204,4.424676,19.010778275525077,0
46,281.63843,429.6943,15.039942620171148,3.7447157,16.22969287618657,0
47,385.63007,581.57166,16.940527502038652,4.1506934,18.915373115581616,0
48,591.26117,757.72284,14.636703147096306,3.8022823,38.44860114164284,0
49,651.25995,334.21442,14.124377885217335,3.7484407,30.77648244066534,0
50,702.22943,91.83127,21.359992152923933,4.790537,17.590724582085954,0
51,790.0539,524.37134,13.232181491199594,3.7855191,10.52812912982029,0
52,481.15567,384.44943,16.298555553250715,4.401633,4.206736491919462,0
53,635.21747,660.415,14.390556055687096,4.0667534,36.71166558209329,0
54,232.565,460.2543,11.273081419972115,3.5975142,5.610491154041149,0
55,455.54657,310.41992,12.292148125005022,3.8624687,24.44483171403685,0
56,527.31177,186.68028,13.692398616159348,4.216806,14.384409106855172,0
57,559.5311,481.58435,18.431610490385133,6.066783,-0.15899222736689328,0
